"Site_no","date","ParamLow","ParamHigh","Parameter","Uncen"
"01122610",1979-03-14,0.927121216327513,0.927121216327513,"CSMR",1
"01122610",1979-04-10,2.80055775702248,2.80055775702248,"Larson",1
"01122610",1979-04-10,1.02354182282557,1.02354182282557,"CSMR",1
"01122610",1979-05-10,3.24503945067787,3.24503945067787,"Larson",1
"01122610",1979-05-10,0.792688639960023,0.792688639960023,"CSMR",1
"01122610",1979-06-14,1.27642919845392,1.27642919845392,"Larson",1
"01122610",1979-06-14,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1979-07-19,1.71316823210002,1.71316823210002,"Larson",1
"01122610",1979-07-19,0.945663640654063,0.945663640654063,"CSMR",1
"01122610",1979-08-10,1.53133972393312,1.53133972393312,"Larson",1
"01122610",1979-08-10,1.06804364120929,1.06804364120929,"CSMR",1
"01122610",1979-09-21,1.84347042956429,1.84347042956429,"Larson",1
"01122610",1979-09-21,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1979-10-09,1.43971871299722,1.43971871299722,"Larson",1
"01122610",1979-10-09,1.01140496326638,1.01140496326638,"CSMR",1
"01122610",1979-11-16,0.907419890480553,0.907419890480553,"CSMR",1
"01122610",1979-12-10,1.25559324505988,1.25559324505988,"Larson",1
"01122610",1979-12-10,0.742624094278338,0.742624094278338,"CSMR",1
"01122610",1980-01-18,2.51118649011976,2.51118649011976,"Larson",1
"01122610",1980-01-18,0.742624094278338,0.742624094278338,"CSMR",1
"01122610",1980-02-13,2.04686376128525,2.04686376128525,"Larson",1
"01122610",1980-02-13,0.572166236362122,0.572166236362122,"CSMR",1
"01122610",1980-03-21,2.50079099676035,2.50079099676035,"Larson",1
"01122610",1980-03-21,0.791143437932811,0.791143437932811,"CSMR",1
"01122610",1980-04-14,2.20966141829141,2.20966141829141,"Larson",1
"01122610",1980-04-14,0.750968185225285,0.750968185225285,"CSMR",1
"01122610",1980-05-15,1.28538451231406,1.28538451231406,"Larson",1
"01122610",1980-05-15,0.878910913078482,0.878910913078482,"CSMR",1
"01122610",1980-06-11,2.64472216386848,2.64472216386848,"Larson",1
"01122610",1980-06-11,0.634150911968019,0.634150911968019,"CSMR",1
"01122610",1980-07-15,1.55239615121203,1.55239615121203,"Larson",1
"01122610",1980-07-15,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1980-08-15,1.48994930280372,1.48994930280372,"Larson",1
"01122610",1980-08-15,0.667527275755809,0.667527275755809,"CSMR",1
"01122610",1980-09-02,1.65184955094037,1.65184955094037,"Larson",1
"01122610",1980-09-02,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1980-10-21,1.90803882001373,1.90803882001373,"Larson",1
"01122610",1980-10-21,0.611900002776158,0.611900002776158,"CSMR",1
"01122610",1980-11-21,2.2044898210222,2.2044898210222,"Larson",1
"01122610",1980-11-21,0.524485716665279,0.524485716665279,"CSMR",1
"01122610",1980-12-19,0.524485716665279,0.524485716665279,"CSMR",1
"01122610",1981-01-19,2.08560729907314,2.08560729907314,"Larson",1
"01122610",1981-01-19,0.934538186058133,0.934538186058133,"CSMR",1
"01122610",1981-02-12,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1981-03-13,1.74011493707514,1.74011493707514,"Larson",1
"01122610",1981-03-13,0.801032730906971,0.801032730906971,"CSMR",1
"01122610",1981-04-15,0.956789095249993,0.956789095249993,"CSMR",1
"01122610",1981-05-18,1.84393957232877,1.84393957232877,"Larson",1
"01122610",1981-05-18,0.856660003886622,0.856660003886622,"CSMR",1
"01122610",1981-06-22,0.667527275755809,0.667527275755809,"CSMR",1
"01122610",1981-07-13,1.43058620280636,1.43058620280636,"Larson",1
"01122610",1981-07-13,0.949140345215291,0.949140345215291,"CSMR",1
"01122610",1981-08-07,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1981-10-23,2.53312417332345,2.53312417332345,"Larson",1
"01122610",1981-10-23,0.556272729796508,0.556272729796508,"CSMR",1
"01122610",1981-11-20,5.95979721121489,5.95979721121489,"Larson",1
"01122610",1981-11-20,0.667527275755809,0.667527275755809,"CSMR",1
"01122610",1981-12-18,0.725935912384442,0.725935912384442,"CSMR",1
"01122610",1982-01-19,1.51044110023615,1.51044110023615,"Larson",1
"01122610",1982-01-19,0.776000458066128,0.776000458066128,"CSMR",1
"01122610",1982-02-17,0.826065003747814,0.826065003747814,"CSMR",1
"01122610",1982-03-16,2.71217747533234,2.71217747533234,"Larson",1
"01122610",1982-03-16,0.967914549845923,0.967914549845923,"CSMR",1
"01122610",1982-04-16,3.15665916898773,3.15665916898773,"Larson",1
"01122610",1982-04-16,0.750968185225285,0.750968185225285,"CSMR",1
"01122610",1982-05-14,2.0078249273944,2.0078249273944,"Larson",1
"01122610",1982-05-14,0.801032730906971,0.801032730906971,"CSMR",1
"01122610",1982-06-18,0.72315454873546,0.72315454873546,"CSMR",1
"01122610",1982-07-16,1.83606297430098,1.83606297430098,"Larson",1
"01122610",1982-07-16,0.73428000333139,0.73428000333139,"CSMR",1
"01122610",1982-08-13,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1982-09-01,1.55239615121203,1.55239615121203,"Larson",1
"01122610",1982-09-01,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1982-10-21,0.801032730906971,0.801032730906971,"CSMR",1
"01122610",1982-11-19,2.65757747756887,2.65757747756887,"Larson",1
"01122610",1982-11-19,0.640826184725577,0.640826184725577,"CSMR",1
"01122610",1982-12-16,0.834409094694762,0.834409094694762,"CSMR",1
"01122610",1983-01-17,2.99757466194547,2.99757466194547,"Larson",1
"01122610",1983-01-17,0.675871366702757,0.675871366702757,"CSMR",1
"01122610",1983-03-03,0.717591821437495,0.717591821437495,"CSMR",1
"01122610",1983-04-12,1.01797909552761,1.01797909552761,"CSMR",1
"01122610",1983-05-17,1.71538643532493,1.71538643532493,"Larson",1
"01122610",1983-05-17,0.74540545792732,0.74540545792732,"CSMR",1
"01122610",1983-06-16,0.600774548180228,0.600774548180228,"CSMR",1
"01122610",1983-07-15,2.23913866508122,2.23913866508122,"Larson",1
"01122610",1983-07-15,0.619846756058966,0.619846756058966,"CSMR",1
"01122610",1983-08-11,0.934538186058133,0.934538186058133,"CSMR",1
"01122610",1983-09-02,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1983-10-27,0.73428000333139,0.73428000333139,"CSMR",1
"01122610",1983-11-18,2.66172959152294,2.66172959152294,"Larson",1
"01122610",1983-11-18,0.517333638710752,0.517333638710752,"CSMR",1
"01122610",1983-12-16,0.801032730906971,0.801032730906971,"CSMR",1
"01122610",1984-01-23,1.77782385726294,1.77782385726294,"Larson",1
"01122610",1984-01-23,0.834409094694762,0.834409094694762,"CSMR",1
"01122610",1984-03-16,1.0966519530274,1.0966519530274,"CSMR",1
"01122610",1984-04-24,0.934538186058133,0.934538186058133,"CSMR",1
"01122610",1984-05-21,2.27783167125021,2.27783167125021,"Larson",1
"01122610",1984-05-21,0.890036367674412,0.890036367674412,"CSMR",1
"01122610",1984-06-19,0.91026446693974,0.91026446693974,"CSMR",1
"01122610",1984-07-13,2.07721178999363,2.07721178999363,"Larson",1
"01122610",1984-07-13,0.609118639127176,0.609118639127176,"CSMR",1
"01122610",1984-08-15,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1984-09-06,0.890036367674412,0.890036367674412,"CSMR",1
"01122610",1984-10-25,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1984-11-14,2.55285839690785,2.55285839690785,"Larson",1
"01122610",1984-11-14,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1984-12-20,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1985-01-15,2.57580094833924,2.57580094833924,"Larson",1
"01122610",1985-01-15,1.08473182310319,1.08473182310319,"CSMR",1
